Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Segment,Traded_Value_lacs
230120,534425,24424,4958,275.4,275.85,B ,13.65
230120,534532,47895,34139,5.95,5.75,B ,2.03
230120,534563,35200,35200,2.96,2.82,MT,1.04
230120,534597,131073,68871,46.9,47.8,A ,32.3
230120,534598,2235,1993,16.3,16.6,B ,0.32
230120,534600,834113,551213,350.25,361.35,B ,1930.62
230120,534612,1334,1288,18.2,18.5,X ,0.23
230120,534615,8021,6541,24.9,24.45,B ,1.63
230120,534618,4458,3297,481.7,486.85,X ,15.88
230120,534623,4371,2129,18.45,18.9,X ,0.39
230120,534639,3,3,17.95,18.85,X ,0.0
230120,534674,263099,263099,10.4,9.97,T ,27.36
230120,534675,158818,63387,31.15,32.15,B ,19.75
230120,534680,627,488,210.1,216.05,X ,1.03
230120,534691,7838,7838,18.9,19.2,XT,1.48
230120,534708,3000,3000,5.43,5.71,M ,0.16
230120,534732,190244,190244,27.0,25.72,XT,51.37
230120,534733,66035,59393,4.75,4.81,X ,2.82
230120,534741,1624238,1278357,1.19,1.25,X ,15.21
230120,534742,19789,10806,149.9,153.9,B ,16.2
230120,534748,268923,165829,15.19,15.21,A ,25.19
230120,534755,98543,79681,1.02,1.05,X ,0.81
230120,534758,15249,9677,569.1,568.75,B ,55.07
230120,534796,8,8,15.2,16.0,X ,0.0
230120,534804,3959,1779,630.85,632.65,B ,11.22
230120,534809,150721,102245,68.5,72.1,B ,70.04
230120,534816,86172,40141,171.45,176.25,A ,68.82
230120,534976,1258,578,2795.25,2872.65,A ,16.16
230120,535136,51744,32773,500.95,477.1,X ,164.18
230120,535204,11561,9844,5.02,5.01,X ,0.49
230120,535205,7524,6292,5.49,5.61,X ,0.35
230120,535267,52288,29561,102.7,103.65,X ,30.36
230120,535276,2210,1223,646.74,650.74,A ,7.91
230120,535279,12000,12000,3.1,3.0,M ,0.37
230120,535322,64897,2870,236.7,234.25,B ,6.79
230120,535431,160842,118116,2.64,2.53,B ,3.12
230120,535458,10,10,20.1,20.35,B ,0.0
230120,535566,38,27,117.5,117.65,X ,0.03
230120,535601,2654,2119,210.15,210.75,B ,4.45
230120,535602,398,310,736.6,737.95,B ,2.28
230120,535620,21,14,98.7,98.55,X ,0.01
230120,535621,674,575,48.45,47.4,X ,0.28
230120,535648,13887,4897,656.3,678.1,A ,32.14
230120,535657,3300,2719,14.9,15.05,X ,0.41
230120,535693,10128,5756,30.35,29.35,X ,1.75
230120,535719,7459,7459,57.5,54.8,X ,4.29
230120,535730,486129,392744,1.82,1.89,X ,7.15
230120,535754,39312,24312,131.6,134.1,A ,31.99
230120,535755,47735,17576,259.5,259.6,A ,45.61
230120,535789,762214,194077,132.1,136.45,A ,256.38
230120,535910,10000,10000,10.5,10.0,M ,1.05
230120,535958,150582,150582,8.01,8.16,T ,12.06
230120,536264,133006,53882,427.1,415.15,X ,230.13
230120,536493,378,305,462.35,464.45,X ,1.41
230120,536507,103821,103821,7.71,7.35,T ,8.0
230120,536659,8213,3847,14.35,14.55,X ,0.55
230120,536672,117741,103943,8.76,8.89,X ,9.11
230120,536709,4779,4646,11.33,11.66,X ,0.53
230120,536773,1389,1190,487.15,487.15,B ,5.8
230120,536846,3750,3750,6.05,5.77,X ,0.23
