Date,Date,NSE_Code,NSE_Volume,NSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment,Segment
230120,230120,ALEMBICLTD,66946.0,41362.0,71.15,72.2,29.43,EQ,EQ
230120,230120,ALICON,7524.0,3845.0,926.65,935.8,35.63,EQ,EQ
230120,230120,ALKEM,29915.0,5138.0,3032.4,3033.15,155.8,EQ,EQ
230120,230120,ALKYLAMINE,19647.0,8975.0,2657.85,2674.1,238.54,EQ,EQ
230120,230120,ALLCARGO,802750.0,229293.0,431.3,423.25,988.94,EQ,EQ
230120,230120,ALLETEC,84800.0,64000.0,111.35,115.95,71.26,SM,SM
230120,230120,ALLSEC,8863.0,5650.0,533.3,540.35,30.13,EQ,EQ
230120,230120,ALMONDZ,4152.0,3423.0,72.25,72.05,2.47,EQ,EQ
230120,230120,ALPA,911972.0,329384.0,71.55,78.3,235.67,EQ,EQ
230120,230120,ALPHAGEO,2738.0,1498.0,266.25,271.7,3.99,EQ,EQ
230120,230120,ALPSINDUS,5947.0,5447.0,2.1,2.1,0.11,EQ,EQ
230120,230120,AMARAJABAT,382105.0,163379.0,574.4,571.4,938.45,EQ,EQ
230120,230120,AMBER,71097.0,26764.0,1918.7,1869.75,513.52,EQ,EQ
230120,230120,AMBICAAGAR,7072.0,6026.0,25.35,25.05,1.53,EQ,EQ
230120,230120,AMBIKCO,7096.0,4365.0,1523.8,1535.65,66.51,EQ,EQ
230120,230120,AMBUJACEM,2656548.0,1076415.0,517.75,519.25,5573.14,EQ,EQ
230120,230120,AMDIND,10985.0,4710.0,56.85,57.35,2.68,EQ,EQ
230120,230120,AMEYA,8000.0,8000.0,47.35,43.3,3.79,SM,SM
230120,230120,AMIABLE,9600.0,9600.0,95.0,99.1,9.12,SM,SM
230120,230120,AMIORG,21284.0,11649.0,895.9,902.3,104.36,EQ,EQ
230120,230120,AMJLAND,8425.0,5643.0,29.6,30.1,1.67,EQ,EQ
230120,230120,AMRUTANJAN,10821.0,5905.0,709.65,714.65,41.9,EQ,EQ
230120,230120,ANANDRATHI,63672.0,29097.0,844.05,844.2,245.59,EQ,EQ
230120,230120,ANANTRAJ,6827714.0,2364950.0,120.75,121.9,2855.68,EQ,EQ
230120,230120,ANDHRAPAP,23316.0,16528.0,420.65,415.65,69.53,EQ,EQ
230120,230120,ANDHRSUGAR,73353.0,37333.0,132.9,134.9,49.62,EQ,EQ
230120,230120,ANDREWYU,340609.0,169903.0,26.5,26.1,45.02,EQ,EQ
230120,230120,ANGELONE,359867.0,173100.0,1295.55,1275.15,2242.6,EQ,EQ
230120,230120,ANIKINDS,39976.0,22669.0,40.85,40.45,9.26,EQ,EQ
230120,230120,ANKITMETAL,87311.0,60673.0,5.6,5.65,3.4,EQ,EQ
230120,230120,ANLON,204000.0,187200.0,213.7,203.55,400.05,ST,ST
230120,230120,ANMOL,2282.0,796.0,141.1,141.0,1.12,EQ,EQ
230120,230120,ANNAPURNA,10000.0,8000.0,134.95,137.0,10.8,SM,SM
230120,230120,ANTGRAPHIC,271837.0,236227.0,0.85,0.8,2.01,EQ,EQ
230120,230120,ANUP,75764.0,28011.0,1060.35,1036.5,297.01,EQ,EQ
230120,230120,ANURAS,215117.0,176267.0,649.5,657.1,1144.85,EQ,EQ
230120,230120,APARINDS,84280.0,35922.0,1701.65,1696.2,611.27,EQ,EQ
230120,230120,APCL,11221.0,6813.0,199.6,203.1,13.6,EQ,EQ
230120,230120,APCOTEXIND,23067.0,11685.0,442.4,440.1,51.69,EQ,EQ
230120,230120,APEX,19268.0,9056.0,245.15,245.9,22.2,EQ,EQ
230120,230120,APLAPOLLO,524690.0,337303.0,1196.7,1177.4,4036.51,EQ,EQ
230120,230120,APLLTD,22980.0,11609.0,554.6,558.4,64.38,EQ,EQ
230120,230120,APOLLO,426961.0,215639.0,363.0,358.55,782.77,EQ,EQ
230120,230120,APOLLOHOSP,242706.0,112764.0,4285.25,4318.15,4832.22,EQ,EQ
230120,230120,APOLLOPIPE,532851.0,163881.0,540.7,525.7,886.1,EQ,EQ
230120,230120,APOLLOTYRE,1874396.0,843624.0,311.8,318.3,2630.42,EQ,EQ
230120,230120,APOLSINHOT,1200.0,795.0,1257.6,1273.55,10.0,EQ,EQ
230120,230120,APTECHT,217859.0,62419.0,372.3,367.7,232.39,EQ,EQ
230120,230120,APTUS,36945.0,20379.0,288.25,288.25,58.74,EQ,EQ
230120,230120,ARCHIDPLY,25414.0,19334.0,68.0,68.25,13.15,EQ,EQ
230120,230120,ARCHIES,17268.0,12482.0,23.5,23.55,2.93,EQ,EQ
230120,230120,ARENTERP,3884.0,3027.0,40.45,40.5,1.22,EQ,EQ
230120,230120,ARHAM,27000.0,21000.0,71.85,72.0,15.09,SM,SM
230120,230120,ARIES,318924.0,90258.0,200.35,200.45,180.83,EQ,EQ
230120,230120,ARIHANTACA,244800.0,182400.0,142.75,119.65,260.38,SM,SM
230120,230120,ARIHANTCAP,274812.0,94124.0,61.7,62.1,58.07,EQ,EQ
230120,230120,ARIHANTSUP,107405.0,36610.0,220.0,223.05,80.54,EQ,EQ
230120,230120,ARMANFIN,4250.0,2555.0,1503.3,1463.1,38.41,EQ,EQ
230120,230120,AROGRANITE,9830.0,7347.0,48.85,49.25,3.59,EQ,EQ
230120,230120,ARROWGREEN,30192.0,19189.0,194.15,184.95,37.26,EQ,EQ
230120,230120,ARSHIYA,421928.0,351314.0,8.15,8.2,28.63,EQ,EQ
230120,230120,ARTEMISMED,23652.0,12023.0,73.0,73.35,8.78,EQ,EQ
230120,230120,ARTNIRMAN,33037.0,12386.0,90.95,87.7,11.27,EQ,EQ
230120,230120,ARVIND,480700.0,307855.0,87.1,87.3,268.14,EQ,EQ
230120,230120,ARVINDFASN,64404.0,18311.0,333.95,336.7,61.15,EQ,EQ
230120,230120,ARVSMART,204995.0,108810.0,296.95,315.85,323.11,EQ,EQ
230120,230120,ASAHIINDIA,103089.0,42114.0,510.3,506.25,214.91,EQ,EQ
230120,230120,ASAHISONG,16623.0,9232.0,250.35,258.7,23.11,EQ,EQ
230120,230120,ASAL,7038.0,3919.0,344.2,345.5,13.49,EQ,EQ
230120,230120,ASALCBR,14041.0,8107.0,408.0,407.6,33.08,EQ,EQ
230120,230120,ASCOM,2000.0,2000.0,254.65,242.55,5.09,SM,SM
230120,230120,ASHAPURMIN,2618073.0,833157.0,104.75,93.6,872.73,EQ,EQ
230120,230120,ASHIANA,8826.0,5692.0,146.05,148.85,8.31,EQ,EQ
230120,230120,ASHIMASYN,284224.0,229733.0,17.1,17.4,39.28,EQ,EQ
230120,230120,ASHOKA,496618.0,228004.0,88.35,90.05,201.44,EQ,EQ
230120,230120,ASHOKLEY,7319634.0,3818077.0,144.05,145.95,5499.94,EQ,EQ
230120,230120,ASIANENE,80235.0,46864.0,69.55,69.35,32.59,EQ,EQ
230120,230120,ASIANHOTNR,4975.0,2597.0,77.05,77.9,2.0,EQ,EQ
230120,230120,ASIANPAINT,3171005.0,1696629.0,2787.8,2866.15,47298.62,EQ,EQ
230120,230120,ASIANTILES,143165.0,83394.0,47.8,47.8,39.86,EQ,EQ
230120,230120,ASPINWALL,3378.0,2103.0,237.65,240.1,5.0,EQ,EQ
230120,230120,ASTEC,3588.0,2001.0,1630.05,1632.15,32.62,EQ,EQ
230120,230120,ASTERDM,175055.0,80426.0,220.0,222.9,176.94,EQ,EQ
230120,230120,ASTRAL,364608.0,231718.0,1995.1,2008.15,4623.01,EQ,EQ
230120,230120,ASTRAMICRO,145628.0,68048.0,281.1,281.0,191.28,EQ,EQ
230120,230120,ASTRAZEN,2401.0,1835.0,3424.65,3441.9,62.84,EQ,EQ
