Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230210,543289,6000,6000,17.8,17.0,1.07,MS
230210,543290,14731,14073,123.13,123.44,17.33,IF
230210,543291,82697,58979,46.49,47.22,27.42,B 
230210,543292,483,476,79.3,78.83,0.38,B 
230210,543297,448,426,981.95,948.0,4.18,B 
230210,543298,3489,3309,54.5,55.25,1.8,B 
230210,543299,7531,4882,296.65,297.25,14.48,A 
230210,543300,67376,29789,462.95,464.9,137.91,A 
230210,543305,204000,132000,5.76,5.8,7.6,M 
230210,543306,154,86,498.25,490.05,0.43,A 
230210,543308,1051,527,1468.7,1453.0,7.74,A 
230210,543311,2752,1770,221.5,219.65,3.92,A 
230210,543317,4057,3107,1166.55,1133.4,36.24,A 
230210,543318,6884,2651,1491.05,1493.15,39.53,A 
230210,543320,12559710,3125498,53.3,54.4,1665.89,A 
230210,543321,150,108,2002.05,1997.45,2.16,A 
230210,543322,9499,6223,379.25,382.95,23.6,A 
230210,543323,4701,4024,18.65,18.6,0.75,B 
230210,543325,3527,1317,1828.6,1783.1,24.08,A 
230210,543326,88,68,462.93,466.85,0.31,B 
230210,543327,10891,5842,129.95,129.55,7.59,B 
230210,543328,5507,3618,424.8,438.55,15.37,B 
230210,543329,2733,2275,252.4,249.75,5.74,B 
230210,543330,172394,44087,158.0,159.25,69.66,A 
230210,543331,11854,7016,98.1,98.15,6.88,A 
230210,543332,6703,1497,1059.7,1051.65,15.86,A 
230210,543333,11611,3028,525.8,502.25,15.92,A 
230210,543334,6575,3509,377.85,371.75,13.26,A 
230210,543335,17505,8466,263.45,267.8,22.3,A 
230210,543336,25679,4669,430.95,433.8,20.12,A 
230210,543341,30985,18988,7.68,7.3,1.46,X 
230210,543346,18000,18000,53.15,53.05,9.57,MT
230210,543347,17,10,319.59,321.27,0.03,B 
230210,543348,369,265,79.49,79.25,0.21,B 
230210,543349,3203,1040,904.05,904.6,9.4,A 
230210,543350,9906,6514,438.95,437.9,28.59,A 
230210,543352,1200,1200,271.0,260.0,3.25,M 
230210,543357,878,180,75.47,74.75,0.14,B 
230210,543358,6642,4438,746.95,747.55,33.15,A 
230210,543363,4000,3200,350.0,351.75,11.2,M 
230210,543364,5550,5550,150.1,152.0,8.33,M 
230210,543365,1096,997,27.51,27.71,0.27,B 
230210,543366,2400,1200,82.75,80.55,0.99,M 
230210,543367,29195,3652,522.2,521.8,19.07,A 
230210,543372,10000,8000,80.55,76.75,6.44,M 
230210,543373,2000,2000,210.0,224.9,4.2,M 
230210,543374,2668,1930,402.65,404.9,7.77,A 
230210,543375,5000,5000,35.0,33.1,1.75,M 
230210,543383,201,200,74.62,74.84,0.15,B 
230210,543384,836366,325710,154.7,151.9,503.87,A 
230210,543386,10260,5572,235.1,238.35,13.1,B 
230210,543387,37983,26477,430.2,465.7,113.9,B 
230210,543388,47,30,204.0,204.0,0.06,B 
230210,543389,3626,1572,271.4,272.95,4.27,B 
230210,543390,426567,133851,524.0,511.55,701.38,A 
230210,543396,1961605,449369,650.2,712.55,2921.8,A 
230210,543397,3832,1136,1208.1,1261.7,13.72,A 
230210,543398,29819,13401,364.15,369.85,48.8,A 
230210,543399,2161,981,707.2,698.4,6.94,A 
230210,543400,8000,4000,13.25,14.25,0.53,M 
230210,543401,2770,1552,998.75,1018.6,15.5,A 
230210,543411,7678,5816,903.55,894.15,52.55,B 
230210,543412,7129,4738,534.65,541.1,25.33,A 
230210,543413,9160,5337,640.65,638.85,34.19,A 
230210,543414,41718,38830,15.44,16.0,6.0,B 
230210,543415,5444,3972,806.65,816.1,32.04,A 
230210,543416,1356,1021,112.15,112.3,1.15,B 
230210,543417,72009,18149,374.55,361.95,67.98,A 
230210,543418,20,20,1035.71,1041.98,0.21,F 
230210,543419,8829,5572,68.95,69.0,3.84,B 
230210,543420,33413,24642,15.5,15.75,3.82,B 
230210,543425,3230,1767,1099.9,1080.65,19.44,A 
230210,543426,6449,2363,800.2,784.05,18.91,A 
230210,543427,6370,1289,663.9,655.1,8.56,A 
230210,543428,17035,9605,1422.55,1454.65,136.64,A 
230210,543433,24805,3140,342.35,342.45,10.75,B 
230210,543434,13343,5966,211.0,211.5,12.59,A 
230210,543435,3000,3000,225.0,230.0,6.75,M 
230210,543437,284,277,55.83,55.58,0.15,B 
230210,543438,117,116,161.1,161.0,0.19,B 
230210,543439,22000,18000,22.8,24.0,4.1,M 
230210,543440,13,11,179.99,181.0,0.02,B 
230210,543441,7165,3442,300.95,300.3,10.36,A 
230210,543442,2435,2435,232.6,244.8,5.66,T 
230210,543449,146,110,236.9,237.45,0.26,B 
230210,543450,43,39,133.7,132.97,0.05,B 
230210,543451,28922,14667,59.6,60.5,8.74,B 
230210,543452,22923,21175,68.81,69.22,14.57,E 
230210,543454,11,9,83.1,83.07,0.01,B 
230210,543458,1181731,439158,436.1,440.3,1915.17,A 
230210,543460,132000,62000,107.8,106.55,66.84,M 
230210,543462,871,871,94.4,94.9,0.82,T 
230210,543463,7146,2036,1253.95,1217.25,25.53,A 
230210,543465,454,439,37.0,37.0,0.16,B 
230210,543470,216,213,176.0,170.35,0.37,B 
230210,543471,10260,7439,68.81,69.2,5.12,E 
230210,543472,520,507,31.79,31.5,0.16,B 
230210,543473,330,248,7.9,7.9,0.02,B 
230210,543474,1089,1059,20.33,20.16,0.22,B 
230210,543475,11200,4800,153.95,147.9,7.39,M 
230210,543480,4,4,50.78,51.0,0.0,F 
230210,543481,421,402,11.75,11.89,0.05,B 
230210,543482,5743,4704,470.9,466.5,22.15,A 
230210,543489,23453,8008,63.3,63.2,5.07,A 
230210,543490,1105153,1084512,18.85,18.85,204.43,B 
230210,543497,4800,3200,40.5,40.5,1.3,M 
230210,543498,256856,134090,53.6,52.5,71.87,A 
230210,543499,6000,6000,31.95,30.45,1.92,M 
230210,543501,15,8,24.52,24.8,0.0,B 
230210,543512,3183,3183,133.4,134.95,4.25,T 
230210,543513,12585,7600,46.8,46.4,3.56,B 
230210,543514,10105,5261,225.15,226.45,11.85,B 
230210,543517,22258,6551,430.2,433.7,28.18,B 
230210,543519,6000,6000,35.05,41.0,2.1,M 
230210,543520,2000,2000,49.0,49.9,0.98,M 
230210,543521,20000,10000,6.3,6.55,0.63,M 
230210,543523,159283,51470,419.4,395.2,215.87,B 
