Date,NSE_Code,NSE_Volume,NSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230210,JETFREIGHT,614460.0,285306.0,15.65,15.9,44.65,EQ
230210,JFLLIFE,8000.0,8000.0,37.4,37.1,2.99,SM
230210,JHS,141766.0,89960.0,18.5,18.8,16.64,EQ
230210,JINDALPHOT,1894.0,1242.0,301.25,305.3,3.74,EQ
230210,JINDALPOLY,16879.0,9198.0,705.55,716.3,64.9,EQ
230210,JINDALSAW,4729938.0,1549778.0,142.0,139.25,2200.68,EQ
230210,JINDALSTEL,2931980.0,1024367.0,581.3,597.05,5954.65,EQ
230210,JINDRILL,23100.0,13341.0,274.3,273.0,36.59,EQ
230210,JINDWORLD,53725.0,15430.0,339.25,339.4,52.35,EQ
230210,JISLDVREQS,22537.0,11681.0,17.55,17.55,2.05,EQ
230210,JISLJALEQS,3378851.0,1274209.0,30.5,28.7,388.63,EQ
230210,J&KBANK,5808237.0,1646582.0,52.3,50.55,861.16,EQ
230210,JKCEMENT,219588.0,93636.0,2802.95,2771.05,2624.57,EQ
230210,JKIL,102103.0,47530.0,266.6,272.8,126.71,EQ
230210,JKLAKSHMI,86902.0,24947.0,758.25,756.95,189.16,EQ
230210,JKPAPER,321512.0,117194.0,392.35,396.4,459.81,EQ
230210,JKTYRE,769357.0,289525.0,155.45,153.9,450.07,EQ
230210,JMA,3732.0,2445.0,66.7,66.5,1.63,EQ
230210,JMFINANCIL,1251550.0,952851.0,64.95,64.95,618.88,EQ
230210,JOCIL,6799.0,4068.0,181.6,181.1,7.39,EQ
230210,JPASSOCIAT,2954134.0,1595496.0,9.45,9.45,150.77,EQ
230210,JPOLYINVST,1558.0,862.0,429.45,430.3,3.7,EQ
230210,JPPOWER,14431172.0,4994756.0,7.05,7.05,352.13,EQ
230210,JSL,500481.0,378250.0,257.35,262.6,973.43,EQ
230210,JSLHISAR,42729.0,25124.0,477.1,479.35,119.87,EQ
230210,JSLL,12000.0,9000.0,291.0,296.5,26.19,SM
230210,JSWENERGY,483581.0,209452.0,229.95,236.35,481.63,EQ
230210,JSWHL,569.0,299.0,3977.1,4035.45,11.89,EQ
230210,JSWISPL,440756.0,202881.0,30.95,30.85,62.79,EQ
230210,JSWSTEEL,997205.0,201673.0,718.95,723.75,1449.93,EQ
230210,JTEKTINDIA,1241144.0,456348.0,108.7,116.25,496.05,EQ
230210,JTLIND,134813.0,81939.0,320.15,319.75,262.33,EQ
230210,JUBLFOOD,2186261.0,1061373.0,460.35,457.9,4886.03,EQ
230210,JUBLINDS,6923.0,4261.0,391.8,399.05,16.69,EQ
230210,JUBLINGREA,171900.0,66940.0,468.95,471.9,313.92,EQ
230210,JUBLPHARMA,76626.0,41991.0,323.3,321.6,135.76,EQ
230210,JUNIORBEES,92749.0,70403.0,410.23,409.13,288.81,EQ
230210,JUSTDIAL,77700.0,22943.0,627.5,636.65,143.97,EQ
230210,JWL,315986.0,182534.0,97.55,94.8,178.06,EQ
230210,JYOTHYLAB,291826.0,155590.0,205.45,204.65,319.66,EQ
230210,KABRAEXTRU,114238.0,40241.0,619.5,632.6,249.29,EQ
230210,KAJARIACER,75302.0,38153.0,1118.7,1084.95,426.82,EQ
230210,KAKATCEM,10778.0,3217.0,197.05,196.95,6.34,EQ
230210,KALPATPOWR,188349.0,57527.0,494.7,484.95,284.59,EQ
230210,KALYANKJIL,1951198.0,413521.0,113.65,113.75,469.97,EQ
230210,KAMATHOTEL,47596.0,31236.0,128.8,128.4,40.23,EQ
230210,KAMDHENU,68718.0,43514.0,365.55,357.6,159.07,EQ
230210,KAMOPAINTS,63814.0,41927.0,169.15,170.6,70.92,EQ
230210,KANANIIND,147725.0,123517.0,7.75,8.1,9.57,EQ
230210,KANDARP,20000.0,8000.0,21.45,20.5,1.72,SM
230210,KANORICHEM,48759.0,18185.0,125.35,126.45,22.79,EQ
230210,KANPRPLA,6366.0,4034.0,95.15,93.9,3.84,EQ
230210,KANSAINER,111591.0,65529.0,419.6,417.9,274.96,EQ
230210,KARMAENG,1880.0,1305.0,25.1,24.65,0.33,EQ
230210,KARURVYSYA,1096137.0,460286.0,104.0,104.3,478.7,EQ
230210,KAUSHALYA,21916.0,17861.0,4.4,4.45,0.79,EQ
230210,KAVVERITEL,25815.0,14019.0,6.6,6.5,0.93,EQ
230210,KAYA,11821.0,7121.0,277.05,274.85,19.73,EQ
230210,KAYNES,202483.0,106846.0,838.5,882.75,895.9,EQ
